"DATA No","DATE","TIME","SensorId","Value"
111,2020/05/13,08:13:45,1,1.240625E+02
112,2020/05/13,08:13:46,2,1.058594E+02
113,2020/05/13,08:14:00,1,1.162500E+02
114,2020/05/13,08:14:01,2,1.067188E+02
115,2020/05/13,08:14:15,1,1.114063E+02
116,2020/05/13,08:14:16,2,7.757813E+01
117,2020/05/13,08:14:30,1,1.375000E+01
118,2020/05/13,08:14:31,2,6.671876E+01
119,2020/05/13,08:14:45,1,4.726563E+01
120,2020/05/13,08:14:46,2,0.000000E+00
121,2020/05/13,08:15:00,1,7.937500E+01
122,2020/05/13,08:15:01,2,9.320313E+01
123,2020/05/13,08:15:15,1,0.000000E+00
124,2020/05/13,08:15:16,2,7.257813E+01
125,2020/05/13,08:15:30,1,1.174219E+02
126,2020/05/13,08:15:31,2,0.000000E+00
127,2020/05/13,08:15:45,1,1.156250E+02
128,2020/05/13,08:15:46,2,4.882813E+01
129,2020/05/13,08:16:00,1,1.153125E+02
130,2020/05/13,08:16:01,2,4.617188E+01
131,2020/05/13,08:16:15,1,0.000000E+00
132,2020/05/13,08:16:16,2,1.601563E+01
133,2020/05/13,08:16:30,1,0.000000E+00
134,2020/05/13,08:16:31,2,0.000000E+00
135,2020/05/13,08:16:45,1,0.000000E+00
136,2020/05/13,08:16:46,2,1.061719E+02
137,2020/05/13,08:17:00,1,0.000000E+00
138,2020/05/13,08:17:01,2,0.000000E+00
139,2020/05/13,08:17:15,1,7.148438E+01
140,2020/05/13,08:17:16,2,0.000000E+00
141,2020/05/13,08:17:30,1,6.187500E+01
142,2020/05/13,08:17:31,2,0.000000E+00
143,2020/05/13,08:17:45,1,1.105469E+02
144,2020/05/13,08:17:46,2,0.000000E+00
145,2020/05/13,08:18:00,1,1.153125E+02
146,2020/05/13,08:18:01,2,0.000000E+00
147,2020/05/13,08:18:15,1,8.726563E+01
148,2020/05/13,08:18:16,2,1.055469E+02
149,2020/05/13,08:18:30,1,8.773438E+01
150,2020/05/13,08:18:31,2,1.820313E+01
151,2020/05/13,08:18:45,1,9.484375E+01
152,2020/05/13,08:18:46,2,1.656250E+01
153,2020/05/13,08:19:00,1,0.000000E+00
154,2020/05/13,08:19:01,2,0.000000E+00
155,2020/05/13,08:19:15,1,1.160156E+02
156,2020/05/13,08:19:16,2,4.773438E+01
157,2020/05/13,08:19:30,1,8.546875E+01
158,2020/05/13,08:19:31,2,2.351563E+01
159,2020/05/13,08:19:45,1,8.718750E+01
160,2020/05/13,08:19:46,2,9.828125E+01
161,2020/05/13,08:20:00,1,9.320313E+01
162,2020/05/13,08:20:01,2,1.071094E+02
163,2020/05/13,08:20:15,1,0.000000E+00
164,2020/05/13,08:20:16,2,0.000000E+00
165,2020/05/13,08:20:30,1,0.000000E+00
166,2020/05/13,08:20:31,2,4.718750E+01
167,2020/05/13,08:20:45,1,9.625000E+01
168,2020/05/13,08:20:46,2,0.000000E+00
